ethanol__heptane,1664,,,,,,,,,,,,,
2-propanol__water,1278,,,,,,,,,,,,,
methanol__water,1117,,,,Water,Heptane,Octane,Decane,Methanol,Ethanol,1-propanol,1-butanol,Benzene,Toluene
ethanol__3-methyl-1-butanol,98,,,,,,,,,,,,,
1-octanol__decane,96,,,,,,,,,,,,,
benzene__2-ethyl-1-hexanol,96,,,,,,,,,,,,,
2-propanol__tetrahydrofuran,96,,,,,,,,,,,,,
2-methoxyethanol__1-hexanol,96,,,,,,,,,,,,,
"1,3,5-trimethylbenzene__methylcyclohexane",96,,,,,,,,,,,,,
2-methoxyethanol__1-octanol,96,,,,,,,,,,,,,
ethylbenzene__1-nonanol,96,,,,,,,,,,,,,
"1,4-dimethylbenzene__methylcyclohexane",96,,,,,,,,,,,,,
tetrahydrofuran__n-hexyl alcohol,96,,,,,,,,,,,,,
"1,3-dimethylbenzene__1-nonanol",96,,,,,,,,,,,,,
hexane__1-octanol,96,,,,,,,,,,,,,
tetrahydrofuran__octyl alcohol,96,,,,,,,,,,,,,
"1,4-dimethylbenzene__1-nonanol",96,,,,,,,,,,,,,
"1,2-dimethylbenzene__1-nonanol",96,,,,,,,,,,,,,
octane__1-octanol,96,,,,,,,,,,,,,
methanol__2-methyl-2-propanol,95,,,,,,,,,,,,,
"benzene__2,2,4-trimethylpentane",92,,,,,,,,,,,,,
"1-pentanol__2,2,4-trimethylpentane",92,,,,,,,,,,,,,
ethylbenzene__methylcyclohexane,91,,,,,,,,,,,,,
benzyl alcohol__1-heptanol,90,,,,,,,,,,,,,
2-(2-methylpropoxy)ethanol__water,90,,,,,,,,,,,,,
benzyl alcohol__1-octanol,90,,,,,,,,,,,,,
benzyl alcohol__1-nonanol,90,,,,,,,,,,,,,
2-butoxyethan-1-ol__water,90,,,,,,,,,,,,,
1-butanol__cyclopentane,89,,,,,,,,,,,,,
1-propanol__cyclohexane,89,,,,,,,,,,,,,
butan-2-ol__diethylene glycol,88,,,,,,,,,,,,,
"1,2-propanediol__1,4-butanediol",88,,,,,,,,,,,,,
butan-1-ol__diethylene glycol,88,,,,,,,,,,,,,
"2-methoxyethanol__ethanol, 2-ethoxy-",88,,,,,,,,,,,,,
"1,4-butanediol__diethylene glycol",88,,,,,,,,,,,,,
n-butanol__oxacyclopentane,88,,,,,,,,,,,,,
"1,2-ethanediol__1,4-butanediol",88,,,,,,,,,,,,,
"glycerol__1,3-propanediol",88,,,,,,,,,,,,,
"glycerol__1,2-propanediol",88,,,,,,,,,,,,,
ethyl alcohol__pentan-1-ol,88,,,,,,,,,,,,,
ethyl alcohol__propan-1-ol,88,,,,,,,,,,,,,
glycerol__2-propanol,88,,,,,,,,,,,,,
meso-erythritol__water,88,,,,,,,,,,,,,
glycerol__1-propanol,88,,,,,,,,,,,,,
"1,4-butanediol__1,3-propanediol",88,,,,,,,,,,,,,
ethyl alcohol__n-butyl alcohol,88,,,,,,,,,,,,,
1-hexanol__octane,86,,,,,,,,,,,,,
2-methyl-1-propanol__water,86,,,,,,,,,,,,,
"1-butanol__1,4-dioxane",86,,,,,,,,,,,,,
cyclohexane__2-butoxyethanol,85,,,,,,,,,,,,,
"2-propanol__1,3-dioxolane",85,,,,,,,,,,,,,
benzene__2-butoxyethanol,85,,,,,,,,,,,,,
"cyclohexane__1,4-dioxane",85,,,,,,,,,,,,,
toluene__2-heptanol,84,,,,,,,,,,,,,
2-propanol__tetrahydropyran,84,,,,,,,,,,,,,
"tetrahydropyran__pentane, 2,2,4-trimethyl-",84,,,,,,,,,,,,,
"1-hexanol__2,2,4-trimethylpentane",84,,,,,,,,,,,,,
toluene__2-octanol,84,,,,,,,,,,,,,
"2-propanol__pentane, 2,2,4-trimethyl-",84,,,,,,,,,,,,,
"1-heptanol__2,2,4-trimethylpentane",84,,,,,,,,,,,,,
toluene__2-hexanol,84,,,,,,,,,,,,,
ethanol__benzyl alcohol,84,,,,,,,,,,,,,
1-butanol__methylcyclohexane,82,,,,,,,,,,,,,
1-butanol__2-methyl-1-propanol,81,,,,,,,,,,,,,
"methanol__1,2-ethanediol",81,,,,,,,,,,,,,
2-methyl-2-propanol__isobutyl alcohol,80,,,,,,,,,,,,,
"1,2-benzenediol__water",80,,,,,,,,,,,,,
ethanol__cyclopentane,78,,,,,,,,,,,,,
2-propanol__cyclopentane,78,,,,,,,,,,,,,
"bis(2-hydroxyethyl) ether__ethanol, 2-propoxy-",78,,,,,,,,,,,,,
ethylbenzene__cyclohexane,78,,,,,,,,,,,,,
2-methyl-2-propanol__tert-butyl ethyl ether,78,,,,,,,,,,,,,
ethanol__tert-butyl ethyl ether,78,,,,,,,,,,,,,
octane__2-pentanol,78,,,,,,,,,,,,,
ethylbenzene__tert-butyl ethyl ether,78,,,,,,,,,,,,,
benzene__tert-butyl ethyl ether,78,,,,,,,,,,,,,
"triethylene glycol__ethanol, 2-propoxy-",78,,,,,,,,,,,,,
decane__2-pentanol,78,,,,,,,,,,,,,
2-methyl-2-butanol__tetrahydrofuran,78,,,,,,,,,,,,,
cyclopentane__2-pentanol,78,,,,,,,,,,,,,
"2,2,4-trimethylpentane__tert-butyl ethyl ether",78,,,,,,,,,,,,,
"n-octane__2,2,4-trimethylpentane",77,,,,,,,,,,,,,
1-propanol__n-octane,77,,,,,,,,,,,,,
1-octanol__1-nonanol,77,,,,,,,,,,,,,
ethanol__n-octane,77,,,,,,,,,,,,,
1-butanol__n-octane,77,,,,,,,,,,,,,
toluene__2-methoxyethanol,77,,,,,,,,,,,,,
"4-methylphenol__1,2-ethanediol",77,,,,,,,,,,,,,
1-pentanol__n-octane,77,,,,,,,,,,,,,
benzene__2-methoxyethanol,77,,,,,,,,,,,,,
"1,2-ethanediol__3-methylphenol",77,,,,,,,,,,,,,
ethanol__2-propanol,76,,,,,,,,,,,,,
toluene__hexane,76,,,,,,,,,,,,,
"1,5-hexanediol__water",75,,,,,,,,,,,,,
tetralin__n-decane,75,,,,,,,,,,,,,
ethanol__1-propanol,74,,,,,,,,,,,,,
1-butanol__2-methyl-2-propanol,72,,,,,,,,,,,,,
o-xylene__tetrahydropyran,72,,,,,,,,,,,,,
"1,2-dimethylbenzene__1,2-dimethoxyethane",72,,,,,,,,,,,,,
2-propanol__methylcyclohexane,71,,,,,,,,,,,,,
tert-butanol__heptane,70,,,,,,,,,,,,,
tetramethylene oxide__water,68,,,,,,,,,,,,,
"2,5,8-trioxanonane__heptane",67,,,,,,,,,,,,,
"1,2,4-trimethylcyclohexane__JP-10",66,,,,,,,,,,,,,
"1,2-dihydroxypropane__1-octanol",66,,,,,,,,,,,,,
"1,4-dimethylbenzene__1,2-dimethoxyethane",66,,,,,,,,,,,,,
ethylbenzene__2-methoxyethanol,66,,,,,,,,,,,,,
2-methoxyethanol__cyclohexane,66,,,,,,,,,,,,,
methylcyclohexane__JP-10,66,,,,,,,,,,,,,
